evidence_id,repository,snapshot,path,blob_sha,classification
TRADE-SHIPMENT-ENTITY,chinair88-prog/allinb2c,14cc83805e7386c3d5cdec6ad191b1078fd502ff,backend/domain/fulfillment/shipping-service/src/main/java/com/allinb2c/fulfillment/shipping/domain/TradeShipmentEntity.java,dbd89d171bcf44274d46dd75bd8117e806eaecde,VERIFIED_IMPLEMENTED
TRADE-SHIPMENT-SERVICE,chinair88-prog/allinb2c,14cc83805e7386c3d5cdec6ad191b1078fd502ff,backend/domain/fulfillment/shipping-service/src/main/java/com/allinb2c/fulfillment/shipping/service/TradeShipmentService.java,3e663f6f02c8ab0adaa6b1258c6b142085c45c9d,IMPLEMENTED_WITH_GAP
TRADE-SHIPMENT-CONTROLLER,chinair88-prog/allinb2c,14cc83805e7386c3d5cdec6ad191b1078fd502ff,backend/domain/fulfillment/shipping-service/src/main/java/com/allinb2c/fulfillment/shipping/controller/TradeShipmentController.java,f4e2677a455a200240629367ac851fb9752af7ca,VERIFIED_IMPLEMENTED
BOOKING-DDL,chinair88-prog/allinb2c,14cc83805e7386c3d5cdec6ad191b1078fd502ff,backend/domain/commerce/provider-service/src/main/resources/db/migration/V9__phase_4b_bookings.sql,cbce5a59c3be64d2f1d731cfdadc193714833ad8,VERIFIED_IMPLEMENTED
EXPORT-HANDOVER-PORTAL,chinair88-prog/allinb2c,14cc83805e7386c3d5cdec6ad191b1078fd502ff,apps/partner-portal/app/partner/export-handover/page.tsx,b4d1831a45b9cd93e0f2cd92ed755bb34a7b0ef5,CLIENT_CONTRACT_PRESENT
ASN-ENTITY,chinair88-prog/allinb2c,14cc83805e7386c3d5cdec6ad191b1078fd502ff,backend/domain/fulfillment/warehouse-service/src/main/java/com/allinb2c/fulfillment/warehouse/domain/AsnEntity.java,2cf9087a494877821f2488caeb2ad9a86a7b31c9,VERIFIED_IMPLEMENTED
ASN-SERVICE,chinair88-prog/allinb2c,14cc83805e7386c3d5cdec6ad191b1078fd502ff,backend/domain/fulfillment/warehouse-service/src/main/java/com/allinb2c/fulfillment/warehouse/service/AsnService.java,6fcd4eb6f1e92262f73106f08e3c4f968cd1d75e,IMPLEMENTED_WITH_GAP
ASN-CONTROLLER,chinair88-prog/allinb2c,14cc83805e7386c3d5cdec6ad191b1078fd502ff,backend/domain/fulfillment/warehouse-service/src/main/java/com/allinb2c/fulfillment/warehouse/controller/AsnController.java,94aabea2d7743182a8de8d45427657a164192ee4,VERIFIED_IMPLEMENTED
STOCK-BALANCE,chinair88-prog/allinb2c,14cc83805e7386c3d5cdec6ad191b1078fd502ff,backend/domain/fulfillment/inventory-service/src/main/java/com/allinb2c/fulfillment/inventory/model/entity/StockBalanceEntity.java,4b8cfad0e6cfec626c5c6f0c7835d34cc7fea68c,VERIFIED_IMPLEMENTED
INVENTORY-POSTING,chinair88-prog/allinb2c,14cc83805e7386c3d5cdec6ad191b1078fd502ff,backend/domain/fulfillment/inventory-service/src/main/java/com/allinb2c/fulfillment/inventory/service/InventoryPostingService.java,a7efd075874daee8e6a849cb61f82ac65b738962,IMPLEMENTED_WITH_GAP
INVENTORY-CONTROLLER,chinair88-prog/allinb2c,14cc83805e7386c3d5cdec6ad191b1078fd502ff,backend/domain/fulfillment/inventory-service/src/main/java/com/allinb2c/fulfillment/inventory/controller/InventoryController.java,02b1c4dce7367fe41e733fe5315aa726ebfd35ef,IMPLEMENTED_WITH_GAP
RESERVATION-SERVICE,chinair88-prog/allinb2c,14cc83805e7386c3d5cdec6ad191b1078fd502ff,backend/domain/fulfillment/inventory-service/src/main/java/com/allinb2c/fulfillment/inventory/service/ReservationService.java,fec768ef4cfd702328660bccab6ffcae73268566,IMPLEMENTED_WITH_GAP
